Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
15,130,99,72,32,131,131,131,131,131,131,131,131,131,131,131,131,131
15,99,72,32,131,131,131,131,131,131,131,131,131,131,131,131,131,131
15,130,72,32,131,131,131,131,131,131,131,131,131,131,131,131,131,131
15,130,99,32,131,131,131,131,131,131,131,131,131,131,131,131,131,131
15,130,99,72,131,131,131,131,131,131,131,131,131,131,131,131,131,131
4,25,95,19,121,131,131,131,131,131,131,131,131,131,131,131,131,131
4,95,19,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131
4,25,19,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131
4,25,95,121,131,131,131,131,131,131,131,131,131,131,131,131,131,131
4,25,95,19,131,131,131,131,131,131,131,131,131,131,131,131,131,131
16,106,2,117,120,26,18,131,131,131,131,131,131,131,131,131,131,131
16,106,117,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131
16,106,2,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131
16,106,2,117,26,18,131,131,131,131,131,131,131,131,131,131,131,131
16,106,2,117,120,18,131,131,131,131,131,131,131,131,131,131,131,131
16,106,2,117,120,26,131,131,131,131,131,131,131,131,131,131,131,131
16,2,117,120,26,18,131,131,131,131,131,131,131,131,131,131,131,131
9,130,120,129,70,59,0,128,131,131,131,131,131,131,131,131,131,131
9,120,129,70,59,0,128,131,131,131,131,131,131,131,131,131,131,131
9,130,129,70,59,0,128,131,131,131,131,131,131,131,131,131,131,131
9,130,120,70,59,0,128,131,131,131,131,131,131,131,131,131,131,131
9,130,120,129,59,0,128,131,131,131,131,131,131,131,131,131,131,131
9,130,120,129,70,0,128,131,131,131,131,131,131,131,131,131,131,131
9,130,120,129,70,59,128,131,131,131,131,131,131,131,131,131,131,131
9,130,120,129,70,59,0,131,131,131,131,131,131,131,131,131,131,131
14,130,99,106,17,103,131,131,131,131,131,131,131,131,131,131,131,131
14,130,106,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131
14,130,99,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131
14,130,99,106,103,131,131,131,131,131,131,131,131,131,131,131,131,131
14,130,99,106,17,131,131,131,131,131,131,131,131,131,131,131,131,131
14,99,106,17,103,131,131,131,131,131,131,131,131,131,131,131,131,131
33,120,59,0,79,51,131,131,131,131,131,131,131,131,131,131,131,131
33,120,49,0,79,51,131,131,131,131,131,131,131,131,131,131,131,131
33,49,59,0,79,51,131,131,131,131,131,131,131,131,131,131,131,131
33,120,49,59,79,51,131,131,131,131,131,131,131,131,131,131,131,131
33,120,49,59,0,51,131,131,131,131,131,131,131,131,131,131,131,131
33,120,49,59,0,79,131,131,131,131,131,131,131,131,131,131,131,131
33,120,49,59,0,79,51,131,131,131,131,131,131,131,131,131,131,131
1,68,80,45,38,131,131,131,131,131,131,131,131,131,131,131,131,131
1,80,45,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131
1,68,45,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131
1,68,80,38,131,131,131,131,131,131,131,131,131,131,131,131,131,131
1,68,80,45,131,131,131,131,131,131,131,131,131,131,131,131,131,131
12,41,125,91,58,52,13,73,37,48,82,131,131,131,131,131,131,131
12,125,91,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131
12,41,91,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131
12,41,125,58,52,13,73,37,48,82,131,131,131,131,131,131,131,131
12,41,125,91,52,13,73,37,48,82,131,131,131,131,131,131,131,131
12,41,125,91,58,13,73,37,48,82,131,131,131,131,131,131,131,131
12,41,125,91,58,52,73,37,48,82,131,131,131,131,131,131,131,131
12,41,125,91,58,52,13,37,48,82,131,131,131,131,131,131,131,131
12,41,125,91,58,52,13,73,48,82,131,131,131,131,131,131,131,131
17,120,107,29,31,131,131,131,131,131,131,131,131,131,131,131,131,131
17,107,29,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131
17,120,29,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131
17,120,107,31,131,131,131,131,131,131,131,131,131,131,131,131,131,131
17,120,107,29,131,131,131,131,131,131,131,131,131,131,131,131,131,131
6,41,26,45,14,39,66,131,131,131,131,131,131,131,131,131,131,131
6,26,45,14,39,66,131,131,131,131,131,131,131,131,131,131,131,131
6,41,45,14,39,66,131,131,131,131,131,131,131,131,131,131,131,131
6,41,26,14,39,66,131,131,131,131,131,131,131,131,131,131,131,131
6,41,26,45,39,66,131,131,131,131,131,131,131,131,131,131,131,131
6,41,26,45,14,66,131,131,131,131,131,131,131,131,131,131,131,131
6,41,26,45,14,39,131,131,131,131,131,131,131,131,131,131,131,131
23,44,18,34,60,57,131,131,131,131,131,131,131,131,131,131,131,131
23,18,34,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131
23,44,34,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131
23,44,18,60,57,131,131,131,131,131,131,131,131,131,131,131,131,131
23,44,18,34,57,131,131,131,131,131,131,131,131,131,131,131,131,131
23,44,18,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131
30,2,49,44,13,37,104,30,53,119,131,131,131,131,131,131,131,131
30,49,44,13,37,104,30,53,119,131,131,131,131,131,131,131,131,131
30,2,44,13,37,104,30,53,119,131,131,131,131,131,131,131,131,131
30,2,49,13,37,104,30,53,119,131,131,131,131,131,131,131,131,131
30,2,49,44,37,104,30,53,119,131,131,131,131,131,131,131,131,131
30,2,49,44,13,104,30,53,119,131,131,131,131,131,131,131,131,131
30,2,49,44,13,37,30,53,119,131,131,131,131,131,131,131,131,131
30,2,49,44,13,37,104,53,119,131,131,131,131,131,131,131,131,131
30,2,49,44,13,37,104,30,119,131,131,131,131,131,131,131,131,131
30,2,49,44,13,37,104,30,53,131,131,131,131,131,131,131,131,131
7,6,122,71,34,60,131,131,131,131,131,131,131,131,131,131,131,131
7,122,71,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131
7,6,71,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131
7,6,122,34,60,131,131,131,131,131,131,131,131,131,131,131,131,131
7,6,122,71,60,131,131,131,131,131,131,131,131,131,131,131,131,131
7,6,122,71,34,131,131,131,131,131,131,131,131,131,131,131,131,131
32,120,44,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131
32,44,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131
32,120,123,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131
32,120,44,4,131,131,131,131,131,131,131,131,131,131,131,131,131,131
32,120,44,123,131,131,131,131,131,131,131,131,131,131,131,131,131,131
28,130,120,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131
28,120,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131,131
28,130,41,125,45,129,28,0,131,131,131,131,131,131,131,131,131,131
28,130,120,125,45,129,28,0,131,131,131,131,131,131,131,131,131,131
28,130,120,41,45,129,28,0,131,131,131,131,131,131,131,131,131,131
28,130,120,41,125,129,28,0,131,131,131,131,131,131,131,131,131,131
28,130,120,41,125,45,28,0,131,131,131,131,131,131,131,131,131,131
28,130,120,41,125,45,129,0,131,131,131,131,131,131,131,131,131,131
28,130,120,41,125,45,129,28,131,131,131,131,131,131,131,131,131,131
29,19,120,45,108,44,70,67,131,131,131,131,131,131,131,131,131,131
29,19,120,45,108,44,70,31,67,131,131,131,131,131,131,131,131,131
29,120,45,108,44,70,31,67,131,131,131,131,131,131,131,131,131,131
29,19,45,108,44,70,31,67,131,131,131,131,131,131,131,131,131,131
29,19,120,108,44,70,31,67,131,131,131,131,131,131,131,131,131,131
29,19,120,45,44,70,31,67,131,131,131,131,131,131,131,131,131,131
29,19,120,45,108,70,31,67,131,131,131,131,131,131,131,131,131,131
29,19,120,45,108,44,31,67,131,131,131,131,131,131,131,131,131,131
8,130,99,41,58,45,44,59,63,109,62,89,131,131,131,131,131,131
8,99,41,58,45,44,59,63,109,62,89,131,131,131,131,131,131,131
8,130,41,58,45,44,59,63,109,62,89,131,131,131,131,131,131,131
8,130,99,58,45,44,59,63,109,62,89,131,131,131,131,131,131,131
8,130,99,41,45,44,59,63,109,62,89,131,131,131,131,131,131,131
8,130,99,41,58,44,59,63,109,62,89,131,131,131,131,131,131,131
8,130,99,41,58,45,59,63,109,62,89,131,131,131,131,131,131,131
8,130,99,41,58,45,44,63,109,62,89,131,131,131,131,131,131,131
8,130,99,41,58,45,44,59,109,62,89,131,131,131,131,131,131,131
8,130,99,41,58,45,44,59,63,62,89,131,131,131,131,131,131,131
11,99,19,55,120,41,45,44,70,59,74,6,67,89,131,131,131,131
11,99,19,55,120,41,45,44,70,59,74,6,62,89,131,131,131,131
11,99,19,55,120,41,45,44,70,59,74,6,62,67,131,131,131,131
11,99,19,55,120,41,45,44,70,59,74,6,62,67,89,131,131,131
11,19,55,120,41,45,44,70,59,74,6,62,67,89,131,131,131,131
11,99,55,120,41,45,44,70,59,74,6,62,67,89,131,131,131,131
11,99,19,120,41,45,44,70,59,74,6,62,67,89,131,131,131,131
11,99,19,55,41,45,44,70,59,74,6,62,67,89,131,131,131,131
11,99,19,55,120,45,44,70,59,74,6,62,67,89,131,131,131,131
11,99,19,55,120,41,44,70,59,74,6,62,67,89,131,131,131,131
37,19,120,41,45,70,23,0,31,116,7,131,131,131,131,131,131,131
37,19,120,41,45,44,23,0,31,116,7,131,131,131,131,131,131,131
37,19,120,41,45,44,70,0,31,116,7,131,131,131,131,131,131,131
37,19,120,41,45,44,70,23,31,116,7,131,131,131,131,131,131,131
37,19,120,41,45,44,70,23,0,116,7,131,131,131,131,131,131,131
37,19,120,41,45,44,70,23,0,31,7,131,131,131,131,131,131,131
37,19,120,41,45,44,70,23,0,31,116,131,131,131,131,131,131,131
37,19,120,41,45,44,70,23,0,31,116,7,131,131,131,131,131,131
37,19,41,45,44,70,23,0,31,116,7,131,131,131,131,131,131,131
40,55,120,129,28,70,59,0,31,63,128,67,131,131,131,131,131,131
40,120,129,28,70,59,0,31,63,128,67,131,131,131,131,131,131,131
40,55,129,28,70,59,0,31,63,128,67,131,131,131,131,131,131,131
40,55,120,28,70,59,0,31,63,128,67,131,131,131,131,131,131,131
40,55,120,129,70,59,0,31,63,128,67,131,131,131,131,131,131,131
40,55,120,129,28,59,0,31,63,128,67,131,131,131,131,131,131,131
40,55,120,129,28,70,0,31,63,128,67,131,131,131,131,131,131,131
40,55,120,129,28,70,59,31,63,128,67,131,131,131,131,131,131,131
40,55,120,129,28,70,59,0,63,128,67,131,131,131,131,131,131,131
19,130,41,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131
19,41,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131
19,130,58,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131
19,130,41,129,28,59,0,127,128,62,86,87,131,131,131,131,131,131
19,130,41,58,28,59,0,127,128,62,86,87,131,131,131,131,131,131
19,130,41,58,129,59,0,127,128,62,86,87,131,131,131,131,131,131
19,130,41,58,129,28,0,127,128,62,86,87,131,131,131,131,131,131
19,130,41,58,129,28,59,127,128,62,86,87,131,131,131,131,131,131
19,130,41,58,129,28,59,0,128,62,86,87,131,131,131,131,131,131
20,41,129,70,59,39,131,131,131,131,131,131,131,131,131,131,131,131
20,41,129,70,59,128,39,131,131,131,131,131,131,131,131,131,131,131
20,129,70,59,128,39,131,131,131,131,131,131,131,131,131,131,131,131
20,41,70,59,128,39,131,131,131,131,131,131,131,131,131,131,131,131
